User: USER	Path: C:\Program Files (x86)\BMG\SMART Control\User\Data	Test run no.: 122
Test name: TbMCA2_CBCS0551	Date: 2023-10-11	Time: 13:16:07

ID1: P102535	
Fluorescence (FI)

Well	Slope of range 2 based on Raw Data (355-15/460-20)	
A01	1075,78	
A02	15541,33	
A03	9905,85	
A04	8468,07	
A05	11181,56	
A06	11746,58	
A07	12332,71	
A08	12145,60	
A09	11231,75	
A10	8650,29	
A11	17302,51	
A12	15990,96	
A13	1018,47	
A14	12301,16	
A15	12797,49	
A16	9921,53	
A17	11367,31	
A18	11954,95	
A19	10441,65	
A20	9450,76	
A21	10788,55	
A22	11999,67	
A23	12539,62	
A24	768,87	
B01	5654,84	
B02	9323,22	
B03	8921,15	
B04	11711,93	
B05	9225,64	
B06	7718,62	
B07	8733,51	
B08	9261,76	
B09	10346,93	
B10	9740,38	
B11	17890,80	
B12	7808,71	
B13	8470,78	
B14	9935,33	
B15	11334,84	
B16	11552,36	
B17	11572,27	
B18	10350,07	
B19	8934,29	
B20	10900,53	
B21	16291,51	
B22	10908,95	
B23	9264,18	
B24	9740,16	
C01	-141,76	
C02	8693,15	
C03	13650,71	
C04	13266,20	
C05	12140,51	
C06	11008,69	
C07	10817,96	
C08	9629,47	
C09	7866,64	
C10	6850,84	
C11	10255,85	
C12	11929,35	
C13	-3,64	
C14	0	
C15	10845,91	
C16	11525,76	
C17	11606,29	
C18	11886,07	
C19	10111,02	
C20	10501,58	
C21	10373,16	
C22	10484,40	
C23	11348,91	
C24	-284,11	
D01	5633,29	
D02	6510,75	
D03	11245,65	
D04	10669,73	
D05	0	
D06	12732,62	
D07	11735,11	
D08	9661,20	
D09	8363,69	
D10	9121,53	
D11	11041,69	
D12	10460,73	
D13	9422,18	
D14	9347,55	
D15	8400,38	
D16	10234,80	
D17	9591,33	
D18	10521,82	
D19	6195,85	
D20	10183,42	
D21	10738,44	
D22	10255,05	
D23	11135,60	
D24	10993,31	
E01	643,31	
E02	9463,11	
E03	8557,85	
E04	9769,04	
E05	9157,38	
E06	13028,35	
E07	10778,71	
E08	10252,98	
E09	9880,93	
E10	6778,18	
E11	10398,00	
E12	11721,55	
E13	639,44	
E14	11685,00	
E15	11860,18	
E16	8068,64	
E17	11724,22	
E18	10752,85	
E19	9675,51	
E20	10271,36	
E21	10924,67	
E22	12144,13	
E23	10124,55	
E24	916,53	
F01	5808,36	
F02	8599,91	
F03	7259,47	
F04	12239,22	
F05	8868,20	
F06	9927,15	
F07	9296,73	
F08	9645,55	
F09	8719,87	
F10	9233,15	
F11	9749,56	
F12	10108,13	
F13	8162,93	
F14	12555,87	
F15	9646,67	
F16	9726,22	
F17	9465,73	
F18	9963,16	
F19	9887,65	
F20	10058,27	
F21	9085,40	
F22	10573,89	
F23	11437,85	
F24	7898,25	
G01	-202,38	
G02	10108,53	
G03	11167,45	
G04	8229,93	
G05	10446,42	
G06	10213,71	
G07	12402,40	
G08	7675,73	
G09	9521,56	
G10	8924,13	
G11	10311,36	
G12	10004,73	
G13	-107,24	
G14	10625,20	
G15	8955,60	
G16	12478,75	
G17	14567,11	
G18	9413,80	
G19	12018,16	
G20	9698,25	
G21	11457,18	
G22	10040,55	
G23	10355,80	
G24	161,71	
H01	7165,13	
H02	7992,20	
H03	6779,04	
H04	11295,18	
H05	8394,24	
H06	13383,05	
H07	9190,35	
H08	7688,76	
H09	12234,98	
H10	8866,65	
H11	10729,58	
H12	8671,55	
H13	8560,53	
H14	10115,96	
H15	11974,45	
H16	10017,25	
H17	8212,35	
H18	19922,56	
H19	9629,24	
H20	13426,31	
H21	11384,78	
H22	8601,51	
H23	9907,18	
H24	8502,31	
I01	896,07	
I02	11435,65	
I03	11332,60	
I04	9738,65	
I05	10977,22	
I06	10808,51	
I07	10986,62	
I08	11665,51	
I09	9327,96	
I10	8646,76	
I11	14343,07	
I12	9329,69	
I13	719,42	
I14	13260,38	
I15	11747,29	
I16	12369,64	
I17	11467,33	
I18	11911,60	
I19	10562,51	
I20	8772,89	
I21	11789,44	
I22	9822,29	
I23	10636,27	
I24	582,78	
J01	5668,53	
J02	7849,29	
J03	7891,64	
J04	10984,69	
J05	7847,13	
J06	9293,44	
J07	8237,13	
J08	8742,60	
J09	8898,20	
J10	10973,55	
J11	8749,42	
J12	9682,51	
J13	9163,51	
J14	7876,13	
J15	10409,31	
J16	8577,00	
J17	9712,78	
J18	12224,44	
J19	9603,27	
J20	9042,29	
J21	10440,71	
J22	9545,44	
J23	10012,16	
J24	9618,91	
K01	47,60	
K02	11084,04	
K03	9026,31	
K04	8990,75	
K05	10628,93	
K06	11423,51	
K07	10654,87	
K08	10541,53	
K09	9471,91	
K10	12835,07	
K11	10791,53	
K12	9208,45	
K13	-75,82	
K14	9998,71	
K15	12602,35	
K16	11285,47	
K17	11903,91	
K18	9424,02	
K19	8592,24	
K20	11203,58	
K21	8221,98	
K22	10862,73	
K23	12687,15	
K24	-276,16	
L01	6081,98	
L02	11424,07	
L03	9213,73	
L04	9147,73	
L05	11500,80	
L06	10728,25	
L07	8517,45	
L08	7477,13	
L09	7737,80	
L10	8885,42	
L11	10623,82	
L12	18771,78	
L13	8770,98	
L14	10522,85	
L15	10476,65	
L16	7889,36	
L17	11042,29	
L18	11804,13	
L19	8805,89	
L20	9057,35	
L21	11249,71	
L22	10114,76	
L23	8342,71	
L24	8591,75	
M01	917,51	
M02	12511,15	
M03	10616,55	
M04	9359,07	
M05	10302,84	
M06	10986,15	
M07	11165,29	
M08	11643,87	
M09	12477,62	
M10	8320,82	
M11	11292,89	
M12	10692,96	
M13	737,93	
M14	13365,49	
M15	9916,15	
M16	13983,45	
M17	13518,47	
M18	12033,96	
M19	9915,44	
M20	9398,05	
M21	12493,29	
M22	13937,33	
M23	9430,49	
M24	870,13	
N01	5974,67	
N02	7000,07	
N03	13433,96	
N04	9628,22	
N05	9544,00	
N06	9048,95	
N07	8583,18	
N08	10027,40	
N09	5951,84	
N10	10429,00	
N11	8712,36	
N12	9729,16	
N13	8970,58	
N14	10145,09	
N15	9375,16	
N16	11722,38	
N17	14151,56	
N18	10930,60	
N19	9752,49	
N20	8965,65	
N21	10828,76	
N22	10577,75	
N23	9647,05	
N24	10629,73	
O01	460,15	
O02	9520,89	
O03	9760,78	
O04	8822,15	
O05	8708,78	
O06	13510,36	
O07	2860,98	
O08	7979,45	
O09	7129,93	
O10	6396,53	
O11	13151,02	
O12	11474,04	
O13	289,91	
O14	11485,89	
O15	12314,56	
O16	7946,40	
O17	11813,49	
O18	11020,29	
O19	11757,20	
O20	8214,15	
O21	8511,11	
O22	17359,45	
O23	9949,65	
O24	45,98	
P01	5148,25	
P02	7209,78	
P03	9419,13	
P04	7696,18	
P05	17259,36	
P06	7617,38	
P07	7319,36	
P08	9131,29	
P09	8281,13	
P10	9348,85	
P11	9153,00	
P12	9209,07	
P13	8490,64	
P14	10610,24	
P15	7174,51	
P16	9794,91	
P17	9737,31	
P18	9606,51	
P19	9526,91	
P20	9927,87	
P21	10979,85	
P22	9927,84	
P23	8367,45	
P24	10695,29	
